Kingdom,Phylum,Class,Order,Family,Genus,Taxon,Rank,Habitat,Zone
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda,Alauda arvensis,Species,Cropland,On ground
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus campestris,Species,Grassland; Rock; Ruderal; Urban,On ground
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus cervinus,Species,Grassland; Rock; Ruderal; Urban,On ground
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus hodgsoni,Species,Grassland; Rock; Ruderal; Urban,On ground
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus pratensis,Species,Cropland,On ground
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus spinoletta,Species,Grassland,On ground
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus trivialis,Species,Cropland; Forest; Wetland,On ground
Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Anthus,Burhinus oedicnemus,Species,Cropland; Wetland,On ground
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Anthus,Calandrella brachydactyla,Species,Grassland; Rock; Ruderal; Urban,On ground
Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Anthus,Caprimulgus europaeus,Species,Cropland; Forest,On ground
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Anthus,Cecropis daurica,Species,Grassland; Rock; Ruderal; Urban,In ground
Animalia,Chordata,Aves,Passeriformes,Cettiidae,Anthus,Cettia cetti,Species,Water; Wetland,On vegetation
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Anthus,Charadrius alexandrinus,Species,Water; Wetland,On ground
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Anthus,Charadrius dubius,Species,Cropland; Rock; Water; Wetland,On ground
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Anthus,Charadrius hiaticula,Species,Water; Wetland,On ground
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Anthus,Charadrius vociferus,Species,Cropland; Water; Wetland,On ground
Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Anthus,Cisticola juncidis,Species,Wetland,On ground
Animalia,Chordata,Aves,Coraciiformes,Coraciidae,Anthus,Coracias garrulus,Species,Grassland; Rock; Ruderal; Urban,In vegetation
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Anthus,Delichon urbicum,Species,Rock; Urban,In ground
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Anthus,Eremophila alpestris,Species,Grassland; Rock; Ruderal; Urban,On ground
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Anthus,Eudromias morinellus,Species,Cropland; Rock; Wetland,On ground
Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Anthus,Haematopus ostralegus,Species,Water; Wetland,On ground
Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Anthus,Himantopus himantopus,Species,Water; Wetland,On ground
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Anthus,Hirundo rustica,Species,Cropland; Urban,In ground
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Anthus,Lullula arborea,Species,Cropland; Rock; Grassland,On ground
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Anthus,Melanocorypha bimaculata,Species,Grassland; Rock; Ruderal; Urban,On ground
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Anthus,Melanocorypha calandra,Species,Grassland; Rock; Ruderal; Urban,On ground
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Motacilla alba,Species,Cropland; Urban; Water; Wetland,On ground
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Motacilla cinerea,Species,Water,On ground
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Motacilla citreola,Species,Grassland; Rock; Ruderal; Urban,On ground
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Motacilla flava,Species,Cropland,On ground
Animalia,Chordata,Aves,Passeriformes,Panuridae,Anthus,Panurus biarmicus,Species,Wetland,On vegetation
Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Anthus,Platalea leucorodia,Species,Water; Wetland,On ground; On vegetation
Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Anthus,Plegadis falcinellus,Species,Water; Wetland,On vegetation
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Anthus,Pluvialis apricaria,Species,Cropland; Water; Wetland,On ground
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Anthus,Pluvialis fulva,Species,Water; Wetland,On ground
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Anthus,Pluvialis squatarola,Species,Water; Wetland,On ground
